Date,AAPL,AMZN,HD,INTC,MA,MSFT,PEP,PG,T,V
2019-07-08,197.6610107421875,1952.3199462890625,208.8754119873047,46.743770599365234,270.1225280761719,135.29515075683594,129.85769653320312,111.19055938720703,32.27357864379883,175.09475708007812
2019-07-09,198.86663818359375,1988.300048828125,207.98265075683594,46.67534637451172,272.223876953125,134.80123901367188,129.05442810058594,110.07913970947266,32.082271575927734,176.6251983642578
2019-07-10,200.83316040039062,2017.4100341796875,206.75633239746094,47.12499237060547,274.25555419921875,136.17434692382812,131.66998291015625,110.89807891845703,32.29270935058594,178.19537353515625
2019-07-11,199.37062072753906,2001.0699462890625,209.98397827148438,47.5062141418457,277.1835632324219,136.71763610839844,131.61122131347656,111.51227569580078,32.0057487487793,179.61647033691406
2019-07-12,200.90234375,2011.0,214.09458923339844,48.796504974365234,278.3985900878906,137.21156311035156,130.56301879882812,112.10699462890625,32.18749237060547,179.20901489257812
2019-07-15,202.78981018066406,2020.989990234375,214.5556640625,48.99200439453125,278.2292785644531,137.21156311035156,131.41526794433594,112.58470916748047,32.2448844909668,179.44754028320312
2019-07-16,202.0881805419922,2009.9000244140625,213.14297485351562,48.063385009765625,275.4905090332031,135.41368103027344,131.0724334716797,112.98442077636719,32.12053680419922,178.19537353515625
2019-07-17,200.9517364501953,1992.030029296875,211.52423095703125,48.278438568115234,274.1559753417969,134.61354064941406,130.07321166992188,113.03317260742188,31.814437866210938,178.03634643554688
2019-07-18,203.2344970703125,1977.9000244140625,210.37640380859375,48.81605529785156,275.6498718261719,134.76171875,130.17117309570312,113.27445220947266,31.651826858520508,179.40777587890625
2019-07-19,200.20069885253906,1964.52001953125,209.00294494628906,49.138633728027344,274.4746398925781,134.9592742919922,127.43804168701172,112.85252380371094,31.364870071411133,178.12579345703125
2019-07-22,204.77610778808594,1985.6300048828125,207.2664794921875,50.19432830810547,277.47235107421875,136.7472686767578,127.6241683959961,113.1370849609375,30.73355484008789,179.44754028320312
